Column4,Column3,Column2,County_FIPS_Cd,Column1,County,Cnsmr,New_Cnsmr,Tot_Renrl,Actv_Renrl,Auto_Renrl,Actv_Renrl_Sw,Actv_Renrl_Nsw,Wk_1,Wk_2,Wk_3,Wk_4,Wk_5,Wk_6,Fnl_Snpsht,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,MALE,FEMALE,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_Yes,Hspnc_No,Unk_Ethncty,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_NFA,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_Othr,Dntl_Cnsmr,Dntl_Age_0_17,Dntl_Age_18_25,Dntl_Age_26_34,Dntl_Age_35_44,Dntl_Age_45_54,Dntl_Age_55_64,Dntl_Age_GE65
Alabama,AL,01001,Autauga County,,,"1,830",346,"1,484","1,067",417,135,932,213,178,153,100,208,971,7,$705 ,$128 ,"1,647","1,264",*,373,760,*,"1,642",$643 ,$78 ,51,225,370,382,353,434,15,770,"1,060",*,179,*,265,"1,057",16,35,277,34,"1,614",182,13,220,"1,519",78,+,51,794,426,204,134,150,71,626,*,70,142,159,129,117,*
Alabama,AL,01003,Baldwin County,,,"11,716","2,335","9,381","6,755","2,626","1,008","5,747","1,330","1,032",879,456,"1,290","6,724",5,$724 ,$138 ,"10,488","7,632","1,068","2,494","4,004",66,"10,467",$656 ,$84 ,336,"1,157","1,954","2,166","2,509","3,547",47,"4,867","6,849",*,346,*,704,"9,047",119,216,"1,194",445,"10,437",834,100,"1,737","9,320",559,+,389,"4,242","2,836","1,590",995,"1,199",465,"3,918",19,385,795,804,807,"1,088",20
Alabama,AL,01005,Barbour County,,,634,132,502,339,163,55,284,91,65,43,21,58,359,-3,$761 ,$121 ,581,421,54,106,261,0,579,$700 ,$79 ,*,66,98,104,139,220,*,256,378,0,22,0,138,365,*,*,95,*,557,*,11,73,523,27,+,20,279,127,76,44,67,21,179,0,17,43,35,36,48,0
Alabama,AL,01007,Bibb County,,,479,88,391,254,137,26,228,61,48,27,26,37,282,-2,$783 ,$134 ,440,353,*,109,192,*,438,$710 ,$83 ,*,33,75,101,111,146,*,195,284,*,*,0,45,356,*,*,69,*,424,*,*,39,406,*,+,*,201,123,69,35,26,*,132,0,*,27,33,26,39,*
Alabama,AL,01009,Blount County,,,"1,917",378,"1,539","1,120",419,136,984,242,197,154,86,199,"1,031",8,$796 ,$123 ,"1,769","1,337",*,409,748,*,"1,769",$729 ,$83 ,*,184,276,347,477,596,*,821,"1,096",*,27,*,21,"1,547",20,28,271,121,"1,621",175,29,177,"1,627",84,+,22,790,461,256,160,145,83,591,*,61,102,114,156,147,*
Alabama,AL,01011,Bullock County,,,296,66,230,154,76,*,*,53,20,25,19,21,160,-2,$713 ,$103 ,271,232,25,59,148,0,271,$666 ,$56 ,*,39,53,61,53,86,*,120,176,0,*,0,159,67,*,*,64,*,249,*,*,21,266,*,+,*,152,66,32,17,*,15,80,0,14,15,14,*,26,*
Alabama,AL,01013,Butler County,,,636,109,527,361,166,38,323,87,54,62,26,68,339,0,$746 ,$124 ,575,460,*,135,279,*,573,$691 ,$73 ,*,57,98,131,139,195,*,258,378,*,28,*,129,391,*,*,75,*,571,*,11,55,553,17,+,14,294,148,54,45,46,35,156,*,15,29,42,33,35,*
Alabama,AL,01015,Calhoun County,,,"3,565",769,"2,796","1,983",813,235,"1,748",450,333,291,189,410,"1,883",9,$704 ,$119 ,"3,230","2,521",*,691,"1,512",*,"3,225",$647 ,$73 ,72,393,648,679,746,"1,009",18,"1,459","2,106",*,222,*,375,"2,346",20,55,539,92,"3,107",366,45,412,"2,946",162,+,62,"1,618",796,458,235,236,160,976,*,110,212,200,195,243,*
Alabama,AL,01017,Chambers County,,,"1,003",238,765,539,226,53,486,148,100,79,47,105,515,9,$742 ,$98 ,923,774,*,190,508,*,923,$700 ,$58 ,*,114,159,182,204,326,*,397,606,*,38,0,298,507,*,*,150,14,891,98,11,105,855,32,+,17,529,211,108,43,56,39,323,*,37,72,60,67,85,*
Alabama,AL,01019,Cherokee County,,,914,205,709,487,222,64,423,138,111,56,43,90,478,-2,$802 ,$106 ,862,675,80,186,409,0,861,$739 ,$73 ,*,83,113,117,236,356,*,387,527,*,18,0,21,716,*,11,145,*,793,*,*,84,783,*,+,*,428,201,118,74,56,*,208,*,23,34,34,50,66,*
