YEAR,ST,METAL,PREMI27,PREMI50,Column1,Lowest Cost,2nd Lowest,Age 50,Weighting
2018,AK,Silver,559,952,,559,573,976,0.00106
2018,AL,Silver,383.15,652.96,,383.15,384.28,654.88,0.00987
2018,AR,Silver,260.71,444.31,,260.71,269.06,458.53,0.00401
2018,AZ,Silver,272.34,464.13,,272.34,296.79,505.8,0.00954
2018,CA,Silver,237.03,403.94,,237.03,242.08,412.54,#N/A
2018,CO,Silver,296.53,505.34,,296.53,296.53,505.34,#N/A
2018,CT,Silver,395.87,674.64,,395.87,395.87,674.64,#N/A
2018,DC,Silver,236.26,465.04,,236.26,241.49,475.34,#N/A
2018,DE,Silver,469.7,800.47,,469.7,484.46,825.61,0.00134
2018,FL,Silver,273.8,456.15,,273.8,276.3,460.31,0.10600
2018,GA,Silver,305.5,520.63,,305.5,315.27,537.29,0.02725
2018,HI,Silver,313.3,533.92,,313.3,326.75,556.84,0.00120
2018,IA,Silver,535.71,912.96,,535.71,537.95,916.78,0.00293
2018,ID,Silver,229.36,390.88,,229.36,231.08,393.8,#N/A
2018,IL,Silver,330.46,563.17,,330.46,336.98,574.29,0.01856
2018,IN,Silver,219.51,374.08,,219.51,224.61,382.78,0.00882
2018,KS,Silver,376.2,641.11,,376.2,379.77,647.2,0.00535
2018,KY,Silver,245.05,417.61,,245.05,256.82,437.68,0.00503
2018,LA,Silver,324.37,552.78,,324.37,326.77,556.87,0.00553
2018,MA,Silver,256.03,365.42,,256.03,259.28,370.06,#N/A
2018,MD,Silver,306.27,521.94,,306.27,320.3,545.86,#N/A
2018,ME,Silver,400.86,683.14,,400.86,402.16,685.36,0.00422
2018,MI,Silver,244.44,416.57,,244.44,252.61,430.5,0.01629
2018,MN,Silver,258.53,440.59,,258.53,269.64,459.52,#N/A
2018,MO,Silver,345.23,588.33,,345.23,369.34,629.43,0.01310
2018,MS,Silver,361.65,616.32,,361.65,362.83,618.33,0.00526
2018,MT,Silver,390.45,665.4,,390.45,409.44,697.77,0.00270
2018,NC,Silver,433.73,739.16,,433.73,436.95,744.66,0.02980
2018,ND,Silver,229.9,391.79,,229.9,244.36,416.44,0.00130
2018,NE,Silver,506.77,863.63,,506.77,555.17,946.12,0.00520
2018,NH,Silver,358.49,610.94,,358.49,374.4,638.05,0.00265
2018,NJ,Silver,326.82,556.97,,326.82,336.78,573.94,0.01517
2018,NM,Silver,236.38,402.85,,236.38,265.38,452.26,0.00267
2018,NV,Silver,287.16,489.38,,287.16,287.81,490.49,0.00496
2018,NY,Silver,408.61,408.61,,408.61,408.61,408.61,#N/A
2018,OH,Silver,243.45,414.88,,243.45,248.85,424.09,0.01230
2018,OK,Silver,364.33,620.89,,364.33,409.71,698.23,0.00896
2018,OR,Silver,289,492,,289,308,525,0.00881
2018,PA,Silver,219.01,373.24,,219.01,230.39,392.63,0.02175
2018,RI,Silver,235.39,401.15,,235.39,254.67,434.02,#N/A
2018,SC,Silver,299.15,509.81,,299.15,299.87,511.03,0.01278
2018,SD,Silver,349.59,595.77,,349.59,371.6,633.28,0.00173
2018,TN,Silver,430.02,732.85,,430.02,435.87,742.82,0.01317
2018,TX,Silver,241.96,412.35,,241.96,249.36,424.97,0.06463
2018,UT,Silver,371.29,568.15,,371.29,383.34,586.6,0.01157
2018,VA,Silver,359.62,612.87,,359.62,366.95,625.35,0.01950
2018,VT,Silver,474.08,474.08,,474.08,475.65,475.65,#N/A
2018,WA,Silver,245.98,419.2,,245.98,254.11,433.06,#N/A
2018,WI,Silver,309.79,527.94,,309.79,314.39,535.78,0.01219
2018,WV,Silver,364.54,621.25,,364.54,376.42,641.5,0.00134
2018,WY,Silver,653.07,1112.96,,653.07,655.03,1116.3,0.00148
,,,,,,334.62,344.81,573.73,
