YEAR,ST,METAL,PREMI27,PREMI50,Column1,Lowest Cost,2nd Lowest,Age 50
2020,AK,Silver,443,754,,443,454,774
2020,AL,Silver,321.52,547.94,,321.52,328.59,559.98
2020,AR,Silver,289.03,492.56,,289.03,293.3,499.84
2020,AZ,Silver,253.31,431.68,,253.31,257.26,438.42
2020,CA,Silver,240.05,409.09,,240.05,241.25,411.13
2020,CO,Silver,234.9,400.31,,234.9,236.95,403.81
2020,CT,Silver,370.56,631.51,,370.56,371.75,633.53
2020,DC,Silver,301.52,593.51,,301.52,308.37,606.99
2020,DE,Silver,376,640.78,,376,427.64,728.78
2020,FL,Silver,269.64,459.52,,269.64,271.75,463.12
2020,GA,Silver,300.95,512.89,,300.95,302.93,516.25
2020,HI,Silver,324.25,552.59,,324.25,329.48,561.49
2020,IA,Silver,458.75,781.81,,458.75,465.96,794.08
2020,ID,Silver,352.3,600.39,,352.3,370.43,631.28
2020,IL,Silver,282.3,481.1,,282.3,290.08,494.35
2020,IN,Silver,223.3,380.55,,223.3,227.03,386.9
2020,KS,Silver,340.31,579.95,,340.31,342.82,584.23
2020,KY,Silver,326,555.57,,326,328.97,560.63
2020,LA,Silver,341.97,582.79,,341.97,344.45,587
2020,MA,Silver,259.53,370.35,,259.53,276.52,394.65
2020,MD,Silver,274.31,467.49,,274.31,279.59,476.47
2020,ME,Silver,306.4,522.17,,306.4,317.55,541.18
2020,MI,Silver,225.07,383.56,,225.07,227.51,387.72
2020,MN,Silver,207.87,354.25,,207.87,212.53,362.19
2020,MO,Silver,269.77,459.74,,269.77,285.44,486.45
2020,MS,Silver,327.17,557.56,,327.17,328.15,559.23
2020,MT,Silver,252.43,430.19,,252.43,286.74,488.67
2020,NC,Silver,332.45,566.57,,332.45,335.81,572.28
2020,ND,Silver,219.62,374.27,,219.62,223.78,381.36
2020,NE,Silver,354.22,603.66,,354.22,380.5,648.45
2020,NH,Silver,290.68,495.38,,290.68,316.67,539.68
2020,NJ,Silver,280.1,477.34,,280.1,285.3,486.2
2020,NM,Silver,252.24,429.87,,252.24,253.98,432.83
2020,NV,Silver,276.22,470.74,,276.22,277.4,472.74
2020,NY,Silver,0,0,,0,0,0
2020,OH,Silver,262.84,447.92,,262.84,264.26,450.35
2020,OK,Silver,334.05,569.29,,334.05,341.98,582.81
2020,OR,Silver,325,555,,325,331,565
2020,PA,Silver,221.8,377.99,,221.8,228.04,388.63
2020,RI,Silver,260.39,482.31,,260.39,274.3,508.07
2020,SC,Silver,305.13,520,,305.13,310.2,528.65
2020,SD,Silver,370.1,630.73,,370.1,371.72,633.49
2020,TN,Silver,287.29,489.6,,287.29,300.81,512.64
2020,TX,Silver,276.65,471.47,,276.65,276.84,471.79
2020,UT,Silver,371.09,567.85,,371.09,385.94,590.56
2020,VA,Silver,337.55,575.25,,337.55,348.48,593.88
2020,VT,Silver,554.4,554.4,,554.4,571.19,571.19
2020,WA,Silver,268.55,457.67,,268.55,280.82,478.57
2020,WI,Silver,275.15,468.91,,275.15,281.75,480.15
2020,WV,Silver,386.35,658.42,,386.35,399.7,681.17
2020,WY,Silver,660.99,1126.45,,660.99,665.52,1134.17
,,,,,,307.35,315.94,530.14
