YEAR,ST,AREA,METAL,PREMI27,PREMI50,Lowest Cost,2nd Lowest,Age 50
2024,AK,AK01,Silver,495,843,495,507,865
2024,AL,AL01,Silver,402.13,685.31,402.13,402.4,685.77
2024,AR,AR01,Silver,348,593.07,348,350.19,596.8
2024,AZ,AZ06,Silver,249.35,424.94,249.35,249.51,425.22
2024,CA,CA15,Silver,275.83,470.06,275.83,282.57,481.56
2024,CO,CO03,Silver,269.43,459.16,269.43,289.82,493.91
2024,CT,CT07,Silver,465.8,793.82,465.8,480.14,818.26
2024,DC,DC01,Silver,358.46,705.58,358.46,396.81,781.07
2024,DE,DE01,Silver,399.74,681.23,399.74,422.64,720.26
2024,FL,FL15,Silver,275.97,470.32,275.97,277.94,473.67
2024,GA,GA10,Silver,262.16,446.77,262.16,262.27,446.97
2024,HI,HI01,Silver,326.12,555.77,326.12,334.91,570.75
2024,IA,IA01,Silver,337.4,575,337.4,339.69,578.91
2024,ID,ID01,Silver,328.54,559.89,328.54,331,564
2024,IL,IL01,Silver,310.66,529.42,310.66,314.33,535.68
2024,IN,IN16,Silver,268.92,458.29,268.92,276.03,470.41
2024,KS,KS06,Silver,334.53,570.11,334.53,335.07,571.02
2024,KY,KY07,Silver,310.69,529.48,310.69,318.31,542.46
2024,LA,LA08,Silver,374.07,637.49,374.07,385.3,656.62
2024,MA,MA06,Silver,336.77,480.63,336.77,340.36,485.75
2024,MD,MD01,Silver,235.8,401.85,235.8,240.52,409.89
2024,ME,ME01,Silver,346.14,589.9,346.14,346.73,590.9
2024,MI,MI05,Silver,226.63,386.22,226.63,229.59,391.27
2024,MN,MN08,Silver,247.91,422.48,247.91,252.38,430.1
2024,MO,MO06,Silver,352.95,601.49,352.95,356.06,606.79
2024,MS,MS06,Silver,352.72,601.1,352.72,353.27,602.04
2024,MT,MT01,Silver,290.91,495.78,290.91,331.06,564.19
2024,NC,NC06,Silver,351.2,598.51,351.2,351.23,598.56
2024,ND,ND01,Silver,274.69,468.13,274.69,279.13,475.7
2024,NE,NE02,Silver,441.81,752.94,441.81,444.51,757.54
2024,NH,NH01,Silver,232.93,396.96,232.93,241.64,411.8
2024,NJ,NJ01,Silver,339.18,578.03,339.18,340.37,580.06
2024,NM,NM01,Silver,226.92,386.72,226.92,237.31,404.43
2024,NV,NV01,Silver,282.61,481.62,282.61,286.26,487.84
2024,NY,NY02,Silver,512.97,512.97,512.97,526.04,526.04
2024,OH,OH12,Silver,292.79,498.98,292.79,303.07,516.49
2024,OK,OK04,Silver,321.77,548.36,321.77,327.57,558.24
2024,OR,OR01,Silver,321,547,321,321.34,547.62
2024,PA,PA08,Silver,217.92,371.38,217.92,228.54,389.49
2024,RI,RI01,Silver,282.47,481.38,282.47,311.69,531.17
2024,SC,SC22,Silver,333.47,568.3,333.47,334.63,570.27
2024,SD,SD02,Silver,328.79,560.33,328.79,334.46,569.99
2024,TN,TN02,Silver,333.29,567.99,333.29,335.17,571.2
2024,TX,TX16,Silver,270.33,460.69,270.33,273.29,465.74
2024,UT,UT03,Silver,371.61,568.64,371.61,375.64,574.81
2024,VA,VA07,Silver,242.48,413.23,242.48,242.65,413.52
2024,VT,VT01,Silver,830.79,830.79,830.79,832.04,832.04
2024,WA,WA03,Silver,291.54,496.85,291.54,292.31,498.16
2024,WI,WI01,Silver,266.42,454.04,266.42,287.28,489.58
2024,WV,WV06,Silver,542.88,925.18,542.88,561.03,956.1
2024,WY,WY02,Silver,633.14,1078.99,633.14,634.13,1080.68
,,,,,,339.72,347.2,571.89
