"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All states (including the District of Columbia) are required to provide data to The Centers for Medicare & Medicaid Services (CMS) on a range of indicators related to key application, eligibility, and enrollment processes within the state Medicaid and Children’s Health Insurance Programs (CHIP). These data reflect enrollment activity for all populations receiving comprehensive Medicaid and CHIP benefits in all states, as well as state program performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://data.medicaid.gov/Enrollment/State-Medicaid-and-CHIP-Applications-Eligibility-D/n5ce-jxme/data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total New Determinations,Total New Determinations - footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
AL,Alabama,11/1/2018,N,P,Y,"18,671",,N/A,,"18,671",,"13,468",,"1,994",,"15,462",,632860,,"895,557",,32.799,-86.8073,"(32.799, -86.8073)",727661,,167896,
AK,Alaska,11/1/2018,Y,P,Y,"3,552",Includes Renewals and/or Redeterminations,N/A,,"3,552",Includes Renewals and/or Redeterminations,"3,396",Includes Renewals and/or Redeterminations; Includes CHIP,218,,"3,614",Includes Renewals and/or Redeterminations,94539,,"211,386",,61.385,-152.2683,"(61.385, -152.2683)",196699,,14687,
AZ,Arizona,11/1/2018,Y,P,Y,,,N/A,,,,,,,,,,,,"1,701,640",,14.2417,-170.7197,"(14.2417, -170.7197)",1599420,,102220,
AR,Arkansas,11/1/2018,Y,P,Y,"28,959",,N/A,,"28,959",,"9,491",,588,,"10,079",,433230,,"867,135",Includes Private Option Enrollees,34.9513,-92.3809,"(34.9513, -92.3809)",780398,Includes Private Option Enrollees,86737,
CA,California,11/1/2018,Y,P,Y,"214,164",Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,"214,164",,"139,537",Does Not Include All Medicaid Determinations Made At Application,"11,492",Does Not Include All CHIP Determinations Made At Application,"151,029",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4949223,,"11,848,844",,33.7712,-111.3877,"(33.7712, -111.3877)",10556067,,1292777,
CO,Colorado,11/1/2018,Y,P,Y,"22,829",,169,,"22,998",,"19,729",,430,,"20,159",,594285,,"1,315,090",,36.17,-119.7462,"(36.17, -119.7462)",1232557,,82533,
CT,Connecticut,11/1/2018,Y,P,Y,"5,313",Includes Duplicates,17214,Includes Duplicates; Includes Renewals and/or Redeterminations,"22,527",Includes Duplicates,"15,583",Includes Renewals and/or Redeterminations,570,Includes Renewals and/or Redeterminations,"16,153",Includes Renewals and/or Redeterminations,329960,,"852,186",,39.0646,-105.3272,"(39.0646, -105.3272)",832770,,19416,
DE,Delaware,11/1/2018,Y,P,Y,"4,659",,N/A,,"4,659",,"4,808",,828,,"5,636",,105487,,"248,489",,38.8964,-77.0262,"(38.8964, -77.0262)",237084,,11405,
DC,District of Columbia,11/1/2018,Y,P,Y,829,Includes SBM data,1928,,"2,757",Includes Renewals and/or Redeterminations,"2,834",Includes Renewals and/or Redeterminations; Includes CHIP,,,"2,834",,,,"259,430",,41.5834,-72.7622,"(41.5834, -72.7622)",243116,,16314,
FL,Florida,11/1/2018,N,P,Y,"235,358",Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,"235,358",Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,"174,410",Does Not Include All Determinations for Limited-Benefit Programs Made At Application,"21,471",,"195,881",Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2491106,,"4,214,651",,39.3498,-75.5148,"(39.3498, -75.5148)",3987709,,226942,
GA,Georgia,11/1/2018,N,P,Y,"42,115",,N/A,,"42,115",,"25,424",,972,,"26,396",,1208511,,"1,771,598",,27.8333,-81.717,"(27.8333, -81.717)",1566540,,205058,
HI,Hawaii,11/1/2018,Y,P,Y,"5,020",,N/A,,"5,020",,"6,126",,585,,"6,711",,140574,,"331,537",,32.9866,-83.6487,"(32.9866, -83.6487)",306410,,25127,
ID,Idaho,11/1/2018,N,P,Y,"13,265",,,,"13,265",,"6,305",,529,,"6,834",,201184,,"279,162",,42.0046,-93.214,"(42.0046, -93.214)",254999,,24163,
IL,Illinois,11/1/2018,Y,P,Y,"72,379",,N/A,,"72,379",,"30,789",,"9,901",,"40,690",,1356080,,"2,859,467",,44.2394,-114.5103,"(44.2394, -114.5103)",2614561,,244906,
IN,Indiana,11/1/2018,Y,P,Y,"79,038",,N/A,,"79,038",,"34,524",,"3,394",,"37,918",,788362,,"1,443,601",,40.3363,-89.0022,"(40.3363, -89.0022)",1332228,,111373,
IA,Iowa,11/1/2018,Y,P,Y,"14,435",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,"14,435",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,"1,181",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,"1,181",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,331506,,"683,185",,21.1098,-157.5311,"(21.1098, -157.5311)",611766,,71419,
KS,Kansas,11/1/2018,N,P,Y,,,N/A,,,,,,,,,,269883,,"389,662",,39.8647,-86.2604,"(39.8647, -86.2604)",334859,,54803,
KY,Kentucky,11/1/2018,Y,P,Y,"9,344",,,,"9,344",,"34,181",,"2,192",,"36,373",,564123,,"1,222,239",,38.5111,-96.8005,"(38.5111, -96.8005)",1132632,,89607,
LA,Louisiana,11/1/2018,Y,P,Y,"23,415",,N/A,,"23,415",,"64,404",,"3,409",,"67,813",,713839,,"1,482,264",,37.669,-84.6514,"(37.669, -84.6514)",1350030,,132234,
ME,Maine,11/1/2018,N,P,Y,"5,110",,N/A,,"5,110",,"9,913",,785,,"10,698",,107016,,"260,969",,39.0724,-76.7902,"(39.0724, -76.7902)",250644,,10325,
MD,Maryland,11/1/2018,Y,P,Y,"6,518",,114851,Includes Renewals and/or Redeterminations,"121,369",Includes Renewals and/or Redeterminations,"30,490",Includes Renewals and/or Redeterminations,"4,141",Includes Renewals and/or Redeterminations,"34,631",Includes Renewals and/or Redeterminations,612689,,"1,302,294",,42.2373,-71.5314,"(42.2373, -71.5314)",1146909,,155385,
MA,Massachusetts,11/1/2018,Y,P,Y,"15,526",,2387,,"17,913",,,,,,,,678585,,"1,581,381",,31.1801,-91.8749,"(31.1801, -91.8749)",1395010,,186371,
MI,Michigan,11/1/2018,Y,P,Y,"49,290",,N/A,,"49,290",,"45,771",Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,"1,770",,"47,541",,938189,Does Not Include All Full-Benefit Child Medicaid enrollees,"2,309,439",Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2250893,Does Not Include All Full-Benefit Medicaid enrollees,58546,
MN,Minnesota,11/1/2018,Y,P,Y,"4,048",,30302,,"34,350",,"24,056",,33,,"24,089",,526763,,"1,050,064",,43.3504,-84.5603,"(43.3504, -84.5603)",1048999,,1065,
MS,Mississippi,11/1/2018,N,P,Y,"16,859",,N/A,,"16,859",,"10,141",,540,,"10,681",,422233,,"632,877",,38.4623,-92.302,"(38.4623, -92.302)",557750,,75127,
MO,Missouri,11/1/2018,N,P,Y,"18,967",,N/A,,"18,967",,"8,347","Includes CHIP; Count is of Households, Not Individuals",,,"8,347","Count is of Households, Not Individuals",569605,,"895,063",,45.7326,-93.9196,"(45.7326, -93.9196)",863924,,31139,
MT,Montana,11/1/2018,Y,P,Y,"3,549",,N/A,,"3,549",,"3,612",,325,,"3,937",,126725,,"276,352",,14.8058,145.5505,"(14.8058, 145.5505)",248327,,28025,
NE,Nebraska,11/1/2018,N,P,Y,"6,301",,N/A,,"6,301",,"5,239",,999,,"6,238",,162039,,"243,159",,35.6411,-79.8431,"(35.6411, -79.8431)",208946,,34213,
